property_id,society,bedrooms,baths,built_year,nearby_locations_and_other_facilities,rooms,link,floors,furnished,other_business_and_communication_facilities,other_community_facilities,lawn_or_garden,other_healthcare_and_recreation_facilities,price,area,area_sqft,servant_quarters,kitchens,store_rooms,total_rooms,price_per_sqft,drawing_room,dining_room,lounge_or_sitting_room,laundry_room,study_room,prayer_room,powder_room,gym,steam_room,servant_quarters_flag,store_rooms_flag,kitchens_flag,other_rooms,luxury_score,furnishing_score
1,DHA Defence,5.0,6.0,2026.0,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","{'Bedrooms': '5', 'Bathrooms': '6', 'Servant Quarters': '2', 'Kitchens': '1', 'Store Rooms': '1'}",https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_h_full_furnished_modren_house_for_sale_near_to_park_hot_deal_out_of_market-54007207-1617-1.html,3,,True,True,True,True,11.25,20.0,5445.0199999999995,2.0,1.0,1.0,2.0,20680.147058823528,1,1,1,1,1,1,1,1,1,0,0,0,0,62,15
1,DHA Defence,5.0,6.0,,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","{'Bedrooms': '5', 'Bathrooms': '6', 'Servant Quarters': '2', 'Kitchens': '2', 'Store Rooms': '1'}",https://www.zameen.com/Property/dha_defence_dha_phase_2_your_dream_1_kanal_house_is_available_in_dha_phase_2-53926726-1444-1.html,,,,,,,8.5,20.0,5445.0199999999995,2.0,2.0,1.0,3.0,15625.0,1,1,0,1,0,0,1,0,0,0,0,0,0,44,15
1,DHA Defence,5.0,6.0,,,{},https://www.zameen.com/Property/dha_defence_dha_phase_1_2_kanal_elegant_and_old_fully_maintained_super_hot_located_bungalow_is_available_in_the_best_block_of_dha_lahore-53916833-1442-1.html,2,True,,,,,14.0,40.0,10890.039999999999,,,,,12867.64705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,19,24
1,DHA Defence,5.0,6.0,2025.0,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","{'Bedrooms': '5', 'Bathrooms': '6', 'Servant Quarters': '2', 'Kitchens': '3', 'Store Rooms': '2'}",https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_g_one_kanal_brand_new_luxury_ultra-modern_design_most_beautiful_fully_furnished_bungalow_2_servant_quarter_in_basement_17kv_solar_attached_for_sale_at_prime_location_of_dha_lahore_near_to_park_masjid_commercial_market-53478204-1616-1.html,True,True,True,True,True,True,12.5,20.0,5445.0199999999995,2.0,3.0,2.0,5.0,22977.941176470587,1,1,1,1,1,1,1,1,1,0,0,0,1,62,25
1,DHA Defence,6.0,7.0,2026.0,,{},https://www.zameen.com/Property/dha_defence_dha_phase_6_fully_furnished_modern_2-kanal_1_1_super_hot_located_bungalow_with_pool_and_theatre_is_available_in_the_best_block_of_dha_phase_6_lahore-53861628-1448-1.html,3,True,,,,,20.5,40.0,10890.039999999999,,,,,18841.91176470588,0,0,0,0,0,0,0,0,0,0,0,0,0,19,24
1,DHA Defence,5.0,6.0,2025.0,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","{'Bedrooms': '5', 'Bathrooms': '6', 'Servant Quarters': '2'}",https://www.zameen.com/Property/dha_defence_dha_phase_6_signature_1_kanal_luxury_residence_ph_6-53527969-1448-1.html,2,True,True,True,True,True,9.0,20.0,5445.0199999999995,2.0,,,,16544.117647058825,1,1,1,1,1,1,1,1,1,0,1,1,1,62,25
1,DHA Defence,5.0,6.0,2026.0,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","{'Bedrooms': '14', 'Bathrooms': '6', 'Kitchens': '3', 'Store Rooms': '1'}",https://www.zameen.com/Property/dha_defence_dha_phase_7_a_well-proportioned_slightly_used_owner_built_in_z2_block_1_kanal_house_in_prime_dha-53640818-1450-1.html,2,True,True,True,True,True,6.15,20.0,5445.0199999999995,,3.0,1.0,4.0,11305.14705882353,1,1,1,1,1,1,1,1,1,1,0,0,1,60,25
1,DHA Defence,3.0,4.0,2026.0,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","{'Bedrooms': '3', 'Bathrooms': '4', 'Kitchens': '1'}",https://www.zameen.com/Property/dha_defence_dha_9_town_fully_furnished_5_marla_brand_new_house_for_sale-53940637-1452-1.html,2,True,True,True,True,True,2.8,5.0,1361.2549999999999,,1.0,,,20588.235294117647,1,1,1,1,1,1,1,1,1,0,1,0,1,57,25
1,DHA Defence,3.0,4.0,,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Nearby Public Transport Service","{'Bedrooms': '3', 'Bathrooms': '4', 'Kitchens': '2'}",https://www.zameen.com/Property/dha_9_town_dha_9_town_-_block_a_5_marla_house_is_available_for_sale_in_dha_9_town_block_a_lahore-54004174-8173-1.html,,,,,,,3.25,5.0,1361.2549999999999,,2.0,,,23897.058823529413,1,1,1,0,0,0,1,0,0,0,0,0,0,22,10
1,DHA Defence,6.0,6.0,,"Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms), Nearby Public Transport Service, Other Nearby Places","{'Bedrooms': '6', 'Bathrooms': '6', 'Kitchens': '2'}",https://www.zameen.com/Property/dha_defence_dha_phase_7_buy_your_ideal_1_kanal_house_in_a_prime_location_of_lahore-54005116-1450-1.html,,,,,,,8.0,20.0,5445.0199999999995,,2.0,,,14705.882352941177,1,1,0,0,0,0,1,0,0,0,0,0,0,15,2
