Property ID,Society,Society Link,Name,Page Title,Price,Marla,Area (sqft),Bedrooms,Baths,Floor Number,Total Floors,Built Year,Rooms,Other Rooms,Link,Built in year,Parking Spaces,Floors,Bathrooms,Servant Quarters,Kitchens,Store Rooms
53575953,Pak Arab Housing Society,https://www.zameen.com/Houses_Property/Lahore_Pak_Arab_Housing_Society-1006-1.html,"3 Bedroom House for sale in Pak Arab Housing Society, Lahore","Pak Arab Society Phase 2 - Block F1, Pak Arab Housing Society Phase 2, Pak Arab Housing Society, Lahore, Punjab",PKR 1.25 Crore,5.0,1125.0,3,3,,,,"{'Bedrooms': '3', 'Bathrooms': '3', 'Kitchens': '2'}","Drawing Room, Dining Room, Lounge or Sitting Room",https://www.zameen.com/Property/pak_arab_housing_society_phase_2_pak_arab_society_phase_2_-_block_f1_house_of_5_marla_available_for_sale_in_pak_arab_society_phase_2_-_block_f1-53575953-9276-1.html,,,,3,,2,
53575957,Pak Arab Housing Society,https://www.zameen.com/Houses_Property/Lahore_Pak_Arab_Housing_Society-1006-1.html,"4 Bedroom House for sale in Pak Arab Housing Society, Lahore","Pak Arab Society Phase 2 - Block F1, Pak Arab Housing Society Phase 2, Pak Arab Housing Society, Lahore, Punjab",PKR 1.4 Crore,5.0,1125.0,4,4,,,,"{'Bedrooms': '4', 'Bathrooms': '4', 'Kitchens': '2'}","Drawing Room, Dining Room, Lounge or Sitting Room",https://www.zameen.com/Property/pak_arab_housing_society_phase_2_pak_arab_society_phase_2_-_block_f1_get_your_hands_on_house_in_lahore_best_area-53575957-9276-1.html,,,,4,,2,
53575959,Pak Arab Housing Society,https://www.zameen.com/Houses_Property/Lahore_Pak_Arab_Housing_Society-1006-1.html,"2 Bedroom House for sale in Pak Arab Housing Society, Lahore","Pak Arab Society Phase 2 - Block F2, Pak Arab Housing Society Phase 2, Pak Arab Housing Society, Lahore, Punjab",PKR 80 Lakh,5.0,1125.0,2,2,,,2015,"{'Bedrooms': '2', 'Bathrooms': '2', 'Servant Quarters': '1', 'Kitchens': '2', 'Store Rooms': '0'}","Drawing Room, Dining Room, Lounge or Sitting Room, Other Rooms",https://www.zameen.com/Property/pak_arab_housing_society_phase_2_pak_arab_society_phase_2_-_block_f2_single_storey_5_marla_house_for_sale_in_pak_arab_society_phase_2_-_block_f2_lahore-53575959-9277-1.html,2015,2,2,2,1,2,0
53449765,Pak Arab Housing Society,https://www.zameen.com/Houses_Property/Lahore_Pak_Arab_Housing_Society-1006-1.html,"4 Bedroom House for sale in Pak Arab Housing Society, Lahore","Pak Arab Society Phase 2 - Block F1, Pak Arab Housing Society Phase 2, Pak Arab Housing Society, Lahore, Punjab",PKR 1 Crore,5.0,1125.0,4,5,,,2025,"{'Bedrooms': '4', 'Bathrooms': '6'}","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym",https://www.zameen.com/Property/pak_arab_housing_society_phase_2_pak_arab_society_phase_2_-_block_f1_pak_arab_f1_grey_structure_5_marla_house_owner_built_house_ideal_location_easy_access_almost_in_e_block_situated-53449765-9276-1.html,2025,1,2,6,,,
48180088,Pak Arab Housing Society,https://www.zameen.com/Houses_Property/Lahore_Pak_Arab_Housing_Society-1006-1.html,"3 Bedroom House for sale in Pak Arab Housing Society, Lahore","Pak Arab Society Phase 2 - Block F1, Pak Arab Housing Society Phase 2, Pak Arab Housing Society, Lahore, Punjab",PKR 1.45 Crore,5.0,1125.0,5,4,,,2022,"{'Bedrooms': '5', 'Bathrooms': '6', 'Servant Quarters': '1', 'Kitchens': '1', 'Store Rooms': '1'}","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms",https://www.zameen.com/Property/pak_arab_housing_society_phase_2_pak_arab_society_phase_2_-_block_f1_5_marla_beauty_full_house_for_sale_in_pak_arab_phase_2-48180088-9276-1.html,2022,2,1,6,1,1,1
53530921,Pak Arab Housing Society,https://www.zameen.com/Houses_Property/Lahore_Pak_Arab_Housing_Society-1006-1.html,"3 Bedroom House for sale in Pak Arab Housing Society, Lahore","Pak Arab Housing Society Phase 2, Pak Arab Housing Society, Lahore, Punjab",PKR 1.89 Crore,5.0,1125.0,12,4,,,2025,"{'Bedrooms': '12', 'Bathrooms': '12', 'Servant Quarters': '3', 'Kitchens': '3', 'Store Rooms': '4'}","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms",https://www.zameen.com/Property/pak_arab_housing_society_pak_arab_housing_society_phase_2_5_marla_house_for_sale_in_pak_arab_phase_1-53530921-8247-1.html,2025,15,3,12,3,3,4
53529778,Pak Arab Housing Society,https://www.zameen.com/Houses_Property/Lahore_Pak_Arab_Housing_Society-1006-1.html,"4 Bedroom House for sale in Pak Arab Housing Society, Lahore","Pak Arab Housing Society Phase 2, Pak Arab Housing Society, Lahore, Punjab",PKR 1.05 Crore,5.0,1125.0,4,4,,,,{},,https://www.zameen.com/Property/pak_arab_housing_society_pak_arab_housing_society_phase_2_5_marla_grey_structure_for_sale-53529778-8247-1.html,,,,,,,
53454986,Pak Arab Housing Society,https://www.zameen.com/Houses_Property/Lahore_Pak_Arab_Housing_Society-1006-1.html,"3 Bedroom House for sale in Pak Arab Housing Society, Lahore","Pak Arab Housing Society, Lahore, Punjab",PKR 1.25 Crore,3.0,675.0,3,2,,,2024,"{'Bedrooms': '3', 'Bathrooms': '3', 'Kitchens': '2'}",Dining Room,https://www.zameen.com/Property/lahore_pak_arab_housing_society_3_marla_corner_house-53454986-1006-1.html,2024,,3,3,,2,
53264707,Pak Arab Housing Society,https://www.zameen.com/Houses_Property/Lahore_Pak_Arab_Housing_Society-1006-1.html,"5 Bedroom House for sale in Pak Arab Housing Society, Lahore","Pak Arab Society Phase 1 - Block B, Pak Arab Housing Society Phase 1, Pak Arab Housing Society, Lahore, Punjab",PKR 2.5 Crore,5.0,1125.0,5,5,,,,"{'Bedrooms': '5', 'Bathrooms': '52'}","Drawing Room, Dining Room, Lounge or Sitting Room",https://www.zameen.com/Property/pak_arab_housing_society_phase_1_pak_arab_society_phase_1_-_block_b_prominently-located_house_available_in_pak_arab_society_phase_1_-_block_b_for_sale-53264707-4109-1.html,,,,52,,,
53473728,Pak Arab Housing Society,https://www.zameen.com/Houses_Property/Lahore_Pak_Arab_Housing_Society-1006-1.html,"3 Bedroom House for sale in Pak Arab Housing Society, Lahore","Pak Arab Housing Society, Lahore, Punjab",PKR 2.15 Crore,5.0,1125.0,3,5,,,2017,"{'Bedrooms': '3', 'Bathrooms': '5', 'Kitchens': '2', 'Store Rooms': '1'}","Drawing Room, Dining Room, Powder Room, Lounge or Sitting Room, Laundry Room, Other Rooms",https://www.zameen.com/Property/lahore_pak_arab_housing_society_5_marla_owner_built_double_story_house_have_3_bedroom-53473728-1006-1.html,2017,,2,5,,2,1
52240798,Pak Arab Housing Society,https://www.zameen.com/Houses_Property/Lahore_Pak_Arab_Housing_Society-1006-1.html,"4 Bedroom House for sale in Pak Arab Housing Society, Lahore","Pak Arab Society Phase 1 - Block A, Pak Arab Housing Society Phase 1, Pak Arab Housing Society, Lahore, Punjab",PKR 2.35 Crore,5.0,1125.0,7,5,,,,"{'Bedrooms': '7', 'Bathrooms': '8', 'Kitchens': '2'}","Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room, Gym, Steam Room, Lounge or Sitting Room, Laundry Room",https://www.zameen.com/Property/pak_arab_housing_society_phase_1_pak_arab_society_phase_1_-_block_a_5_marla_triple_storey_house_for_sale-52240798-4108-1.html,,,,8,,2,
